City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,77.0,83,20,9.22,TO,2021-04-04 21:08:26
1,Falesti,47.5736,27.7092,37.99,75,4,4.0,MD,2021-04-04 21:08:26
2,Saint-Pierre,-21.3393,55.4781,77.0,78,0,5.75,RE,2021-04-04 21:08:26
3,Jalu,29.0331,21.5482,72.59,10,0,11.45,LY,2021-04-04 21:08:26
4,Khasan,42.4308,130.6434,37.67,54,0,4.38,RU,2021-04-04 21:08:27
5,Imphal,24.8167,93.95,58.41,32,12,2.71,IN,2021-04-04 21:08:27
6,Kieta,-6.2167,155.6333,80.51,80,99,3.24,PG,2021-04-04 21:08:27
7,Albany,42.6001,-73.9662,60.01,27,51,4.0,US,2021-04-04 21:03:28
8,Mataura,-46.1927,168.8643,53.01,90,98,18.99,NZ,2021-04-04 21:08:27
9,Qaanaaq,77.484,-69.3632,-12.1,67,26,6.29,GL,2021-04-04 21:08:28
10,Nanortalik,60.1432,-45.2371,34.95,88,18,7.56,GL,2021-04-04 21:08:28
11,Whitefish,48.4111,-114.3376,61.0,29,90,14.97,US,2021-04-04 21:04:39
12,Hermanus,-34.4187,19.2345,64.99,92,96,12.3,ZA,2021-04-04 21:08:28
13,Mana,5.6592,-53.7767,79.21,84,77,9.86,GF,2021-04-04 21:08:28
14,Kurchum,48.5722,83.6542,34.61,48,0,4.63,KZ,2021-04-04 21:08:29
15,Portland,45.5234,-122.6762,55.99,41,75,9.22,US,2021-04-04 21:06:10
16,Itarema,-2.9248,-39.9167,79.81,81,99,13.15,BR,2021-04-04 21:08:29
17,Chuy,-33.6971,-53.4616,70.11,81,16,12.12,UY,2021-04-04 21:08:29
18,Georgetown,5.4112,100.3354,84.0,94,20,3.47,MY,2021-04-04 21:08:29
19,Ushuaia,-54.8,-68.3,44.6,70,75,24.16,AR,2021-04-04 21:04:35
20,Jamestown,42.097,-79.2353,55.99,37,1,10.36,US,2021-04-04 21:06:54
21,Bluff,-46.6,168.3333,53.01,90,89,18.99,NZ,2021-04-04 21:08:29
22,Butaritari,3.0707,172.7902,82.06,79,94,16.17,KI,2021-04-04 21:08:30
23,Bredasdorp,-34.5322,20.0403,64.4,94,100,9.22,ZA,2021-04-04 21:08:30
24,San Patricio,28.017,-97.5169,82.4,42,75,17.27,US,2021-04-04 21:08:30
25,Rio Grande,-32.035,-52.0986,78.8,69,40,20.71,BR,2021-04-04 21:08:30
26,Sendafa,9.15,39.0333,55.56,60,13,6.42,ET,2021-04-04 21:08:31
27,Kyra,49.5776,111.9753,28.31,77,9,5.28,RU,2021-04-04 21:08:31
28,Abha,18.2164,42.5053,66.2,36,0,4.12,SA,2021-04-04 21:08:31
29,Chitral,35.8462,71.7858,47.61,98,100,2.3,PK,2021-04-04 21:08:31
30,Punta Arenas,-53.15,-70.9167,46.4,61,40,19.57,CL,2021-04-04 21:07:16
31,Windhoek,-22.5594,17.0832,69.01,50,85,5.39,NA,2021-04-04 21:08:32
32,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,40,4.61,BR,2021-04-04 21:08:32
33,Rikitea,-23.1203,-134.9692,77.52,68,79,17.49,PF,2021-04-04 21:08:32
34,Husavik,66.0449,-17.3389,17.6,67,90,18.41,IS,2021-04-04 21:08:32
35,Ostrovnoy,68.0531,39.5131,32.22,90,100,16.8,RU,2021-04-04 21:07:36
36,Kamalpur,24.2,91.8333,70.84,34,85,3.0,IN,2021-04-04 21:08:33
37,New Norfolk,-42.7826,147.0587,55.0,67,55,3.0,AU,2021-04-04 21:08:33
38,Castro,-24.7911,-50.0119,63.93,80,45,8.3,BR,2021-04-04 21:08:33
39,Singapore,1.2897,103.8501,78.8,94,75,1.14,SG,2021-04-04 21:04:04
40,Edgewater,28.9889,-80.9023,71.01,52,20,13.8,US,2021-04-04 21:08:33
41,Andros Town,24.7,-77.7667,73.4,46,40,14.97,BS,2021-04-04 21:08:33
42,Vilhena,-12.7406,-60.1458,80.6,74,40,2.3,BR,2021-04-04 21:08:34
43,Upernavik,72.7868,-56.1549,-10.59,87,32,12.44,GL,2021-04-04 21:08:34
44,Hobart,-42.8794,147.3294,55.0,71,40,5.75,AU,2021-04-04 21:06:28
45,Codrington,-38.2667,141.9667,56.7,66,89,6.93,AU,2021-04-04 21:07:25
46,Port Alfred,-33.5906,26.891,67.03,87,51,12.37,ZA,2021-04-04 21:08:34
47,Geraldton,-28.7667,114.6,69.8,88,40,5.75,AU,2021-04-04 21:08:34
48,Klaksvik,62.2266,-6.589,24.8,50,75,37.98,FO,2021-04-04 21:08:35
49,Kodiak,57.79,-152.4072,51.8,46,1,18.41,US,2021-04-04 21:08:35
50,Chokurdakh,70.6333,147.9167,-25.94,100,53,4.81,RU,2021-04-04 21:08:35
51,Zapolyarnyy,69.4154,30.8136,33.8,100,75,12.66,RU,2021-04-04 21:08:35
52,Guerrero Negro,27.9769,-114.0611,70.21,55,0,16.91,MX,2021-04-04 21:08:35
53,Nikolskoye,59.7035,30.7861,39.0,75,0,6.71,RU,2021-04-04 21:08:36
54,Kavaratti,10.5669,72.642,82.04,70,38,13.42,IN,2021-04-04 21:06:57
55,Cabo San Lucas,22.8909,-109.9124,91.4,19,1,24.16,MX,2021-04-04 21:03:52
56,Kaniama,-7.5667,24.1833,66.92,95,88,0.4,CD,2021-04-04 21:08:36
57,Barrow,71.2906,-156.7887,-4.0,65,1,14.97,US,2021-04-04 21:08:36
58,Sungairaya,0.7,108.9,76.55,89,90,3.13,ID,2021-04-04 21:08:36
59,Kruisfontein,-34.0033,24.7314,66.99,79,98,1.99,ZA,2021-04-04 21:08:37
60,Airai,-8.9266,125.4092,60.35,94,100,4.56,TL,2021-04-04 21:08:37
61,Cidreira,-30.1811,-50.2056,73.0,76,6,17.45,BR,2021-04-04 21:08:37
62,East London,-33.0153,27.9116,66.9,73,1,12.91,ZA,2021-04-04 21:05:39
63,Katsuura,35.1333,140.3,66.2,94,75,5.75,JP,2021-04-04 21:08:37
64,Busselton,-33.65,115.3333,62.01,92,1,1.19,AU,2021-04-04 21:08:37
65,Puerto Ayora,-0.7393,-90.3518,86.0,66,20,16.11,EC,2021-04-04 21:08:38
66,Washington,47.5001,-120.5015,57.99,32,90,14.0,US,2021-04-04 21:06:45
67,Vestmannaeyjar,63.4427,-20.2734,21.13,50,12,23.2,IS,2021-04-04 21:08:38
68,Grand Gaube,-20.0064,57.6608,81.0,77,6,7.0,MU,2021-04-04 21:08:38
69,Bengkulu,-3.8004,102.2655,76.62,83,100,9.6,ID,2021-04-04 21:08:38
70,Leningradskiy,69.3833,178.4167,3.02,90,100,5.08,RU,2021-04-04 21:08:39
71,Yellowknife,62.456,-114.3525,25.0,49,1,5.75,CA,2021-04-04 21:04:58
72,Poum,-20.2333,164.0167,78.85,73,84,24.18,NC,2021-04-04 21:08:39
73,Kapaa,22.0752,-159.319,78.8,53,75,17.27,US,2021-04-04 21:08:39
74,Buribay,51.9617,58.1592,34.52,95,100,15.64,RU,2021-04-04 21:08:39
75,Roanoke Rapids,36.4615,-77.6542,73.99,43,1,10.36,US,2021-04-04 21:08:40
76,Tuktoyaktuk,69.4541,-133.0374,-2.2,78,75,19.57,CA,2021-04-04 21:08:40
77,Kupang,-10.1667,123.5833,75.52,94,100,37.51,ID,2021-04-04 21:08:40
78,Verkh-Chebula,56.0308,87.6218,30.69,97,100,5.53,RU,2021-04-04 21:08:40
79,Atar,20.5169,-13.0499,87.15,12,72,9.46,MR,2021-04-04 21:08:40
80,Lasa,46.6166,10.7002,51.8,56,0,3.44,IT,2021-04-04 21:08:41
81,Feira De Santana,-12.2667,-38.9667,78.33,71,11,12.19,BR,2021-04-04 21:05:23
82,Kayes,14.0,-11.0,95.07,9,7,4.45,ML,2021-04-04 21:08:41
83,Mega,4.05,38.3,62.47,81,54,6.2,ET,2021-04-04 21:08:41
84,Cayenne,4.9333,-52.3333,80.6,89,40,8.05,GF,2021-04-04 21:08:41
85,Caravelas,-17.7125,-39.2481,77.38,76,68,8.05,BR,2021-04-04 21:08:42
86,Khanpur,28.6453,70.6567,79.65,8,79,10.94,PK,2021-04-04 21:08:42
87,Sola,-13.8833,167.55,80.29,79,100,18.5,VU,2021-04-04 21:08:42
88,Pevek,69.7008,170.3133,-10.46,95,97,9.35,RU,2021-04-04 21:08:42
89,Pisco,-13.7,-76.2167,77.0,65,0,11.5,PE,2021-04-04 21:04:33
90,Samoded,63.6083,40.5111,32.9,96,100,10.04,RU,2021-04-04 21:08:42
91,Hilo,19.7297,-155.09,78.8,61,90,3.44,US,2021-04-04 21:08:43
92,Bethel,41.3712,-73.414,60.8,25,1,13.8,US,2021-04-04 21:08:43
93,Bauchi,10.5,10.0,79.32,15,2,6.08,NG,2021-04-04 21:08:43
